Common Name,Latin Name,Image,Deciduous/Evergreen,Blurb
English Elm,Ulmus procera ,,Deciduous,"The field elm (Ulmus minor) cultivar 'Atinia', commonly known as the English elm, formerly common elm and horse may, and more lately the Atinian elm was, before the spread of Dutch elm disease, the most common field elm in central southern England, though not native there, and one of the largest and fastest-growing deciduous trees in Europe. R. H. Richens noted that elm populations exist in north-west Spain and northern Portugal, and on the Mediterranean coast of France that ""closely resemble the English elm"" and appear to be ""trees of long standing"" in those regions rather than recent introductions. Augustine Henry had earlier noted that the supposed English elms planted extensively in the Royal Park at Aranjuez from the late 16th century onwards, specimens said to have been introduced from England by Philip II and ""differing in no respects from the English elm in England"", behaved as native trees in Spain. He suggested that the tree ""may be a true native of Spain, indigenous in the alluvial plains of the great rivers, now almost completely deforested"". The English elm was once valued for many purposes, notably as water pipes from hollowed trunks, owing to its resistance to rot in saturated conditions. It is also very resilient to crushing damage, and these two properties led to its widespread use in the construction of jetties, timber piers, lock gates, etc. It was used to a degree in furniture manufacture, but not to the same extent as oak, because of its greater tendency to shrink, swell, and split, which also rendered it unsuitable as the major timber component in shipbuilding and building construction. The wood has a density around 560 kg/m3."
English Oak,Quercus robur,,Deciduous,"Quercus robur, commonly known as common oak, pedunculate oak, European oak or English oak, is a species of flowering plant in the beech and oak family, Fagaceae. It is native to most of Europe west of the Caucasus. The tree is widely cultivated in temperate regions and has escaped into the wild in scattered parts of China and North America. Quercus robur is planted for forestry, and produces a long-lasting and durable heartwood, much in demand for interior and furniture work."
English Yew,Taxus baccata,,Evergreen,"Taxus baccata is a conifer native to western, central and southern Europe, northwest Africa, northern Iran and southwest Asia. It is the tree originally known as yew, though with other related trees becoming known, it may now be known as common yew, English yew, or European yew. Primarily grown as an ornamental, most parts of the plant are poisonous, and consumption of the foliage can result in death."
European Beech,Fagus sylvatica,,Deciduous,"Fagus sylvatica, the European beech or common beech, is a deciduous tree belonging to the beech family Fagaceae. The natural range extends from southern Sweden to northern Sicily, west to France, southern England, northern Portugal, central Spain, and east to northwest Turkey, where it intergrades with the oriental beech (Fagus orientalis), which replaces it further east. European beech is a very popular ornamental tree in parks and large gardens in temperate regions of the world. In North America, they are preferred for this purpose over the native F. grandifolia, which despite its tolerance of warmer climates, is slower growing, taking an average of 10 years longer to attain maturity. The town of Brookline, Massachusetts has one of the largest, if not the largest, grove of European beech trees in the United States. The 2.5 acre public park, called 'The Longwood Mall', was planted sometime before 1850 qualifying it as the oldest stand of European beeches in the United States."
European Carpinus,Carpinus betulus ,,Deciduous,"Carpinus betulus, commonly known as the European or common hornbeam, is a hornbeam native to Western Asia and central, eastern, and southern Europe, including southern England. It requires a warm climate for good growth, and occurs only at elevations up to 600 metres (1,969 ft). It grows in mixed stands with oak, and in some areas beech, and is also a common tree in scree forests. Hornbeam was also known as 'Yoke Elm'."
European Larch,Larix decidua,,Deciduous,"Larix decidua, the European larch, is a species of larch native to the mountains of central Europe, in the Alps and Carpathian Mountains as well as the Pyrenees, with disjunct lowland populations in northern Poland and southern Lithuania. Its life span has been confirmed to be close to 1000 years (with claims of up to 2000 years) but is more often around 200 years."
European White Birch,Betula pendula,,Deciduous,"Betula pendula, commonly known as silver birch, warty birch, European white birch, or East Asian white birch, is a species of tree in the family Betulaceae, native to Europe and parts of Asia, though in southern Europe, it is only found at higher altitudes. Its range extends into Siberia, China, and southwest Asia in the mountains of northern Turkey, the Caucasus, and northern Iran. It has been introduced into North America, where it is known as the European white birch, and is considered invasive in some states in the United States and parts of Canada."
Fern Leaf Beech,Fagus sylvatica,,Deciduous,"Deeply cut leaves are unlike any other beech and give the tree a willowy appearance. Many gardeners are surprised this tree is a beech because leaves are so different from the species, but silvery-gray trunk is a dead giveaway. Graceful and majestic."
Field Maple,Acer campestre,,Deciduous,"Acer campestre, known as the field maple, is a flowering plant species in the soapberry and lychee family Sapindaceae. It is native to much of continental Europe, Britain, southwest Asia from Turkey to the Caucasus, and north Africa in the Atlas Mountains. It has been widely planted, and is introduced outside its native range in Europe and areas of USA and Western Australia with suitable climate."
Flowering Crabapple,Malus spp.,,Deciduous,"Malus is a genus of about 30-55 species of small deciduous trees or shrubs in the family Rosaceae, including the domesticated orchard apple (M. domestica syn. M. pumila)- also known as the eating apple, cooking apple, or culinary apple. The other species are commonly known as crabapples, crab apples, crabtrees, or wild apples. The genus is native to the temperate zone of the Northern Hemisphere."
Flowering Dogwood,Cornus florida,,Deciduous,"Cornus florida, the flowering dogwood, is a species of flowering tree in the family Cornaceae native to eastern North America and northern Mexico. An endemic population once spanned from southernmost coastal Maine south to northern Florida and west to the Mississippi River. The tree is commonly planted as an ornamental in residential and public areas because of its showy bracts and interesting bark structure."
Flowering Quince,Chaenomeles speciosa ,,Deciduous,"Chaenomeles is a genus of three species of deciduous spiny shrubs, usually 1-3 m tall, in the family Rosaceae. They are native to Japan, Korea, China, Bhutan, and Burma. These plants are related to the quince (Cydonia oblonga) and the Chinese quince (Pseudocydonia sinensis), differing in the serrated leaves that lack fuzz, and in the flowers, borne in clusters, having deciduous sepals and styles that are connate at the base."
Foster's Holly,Ilex x attenuata,,Evergreen,"Hybrid between I. cassine and I. opaca. Foster's Holly is a small evergreen tree that is densely pyramidal and grows up to a little over 3' tall. It is fast growing and is a heavy fruiter, producing red fruits that persist through winter. This plant is moderately salt tolerant, has known pest problems, and is mildly resistant to damage by deer."
Fragrant Snowbell,Styrax obassia,,Deciduous,Styrax obassia is a species of flowering plant in the Styracaceae family. It is native to Hokkaido island of Japan and to China.
Frank's Masterpiece Magnolia,Magnolia 'Frank's Masterpiece',,Deciduous,"A red, upright magnolia with excellent vigor. The striking blossoms that reach almost a foot across are a deep reddish purple on the outside while the inside is white with a hint of pink -- a stunning combination. This masterpiece was named for its hybridizer Frank Gaylon of Knoxville, TN, in 1977. A cross between Magnolia soulangeana 'Deep Purple Dream'‚ and Magnolia 'Paul Cook.'"
Franklin Tree,Franklinia alatamaha,,Deciduous,"Franklinia is a monotypic genus in the tea plant family, Theaceae. The sole species in this genus is a flowering tree, Franklinia alatamaha, commonly called the Franklin tree, and native to the Altamaha River valley in Georgia in the southeastern United States. It has been extinct in the wild since the early 19th century, but survives as a cultivated ornamental tree."
Fraser Photinia,Photinia x fraseri,,Evergreen,"Photinia x fraseri is a large, hybrid (P. glabra and P. serrulata), evergreen shrub that typically grows to 10-15' tall and as wide. It is often commonly called red tip or red top (particularly in the deep South where it has been frequently planted) in celebration of the bronze red to bright red new leaves that emerge at the twig tips each spring. This hybrid was originally discovered at Fraser Nursery in Birmingham, Alabama around 1940, and was subsequently introduced into commerce in 1955 as Photina x fraseri 'Birmingham' ('Birmingham' was later dropped)."
Freeman Maple,Acer x freemanii,,Deciduous,"Acer x freemanii, Freeman maple or Freeman's maple, is a naturally occurring hybrid maple that is the result of a cross between Acer rubrum (red maple) and Acer saccharinum (silver maple). The species is named for Oliver M. Freeman of the U.S. National Arboretum who hybridized A. rubrum with A. saccharinum in 1933. Wild specimens are found in eastern North America where the parent species overlap. The fall foliage is a striking orange-red. It has many commercially available cultivars and is frequently used as a street tree."
Giant Arborvitae,Thuja plicata,,Evergreen,"Thuja plicata, commonly called western red cedar or Pacific red cedar, giant arborvitae or western arborvitae, giant cedar, or shinglewood, is a species of Thuja, an evergreen coniferous tree in the cypress family Cupressaceae native to western North America. It is not a true cedar of the genus Cedrus. The largest living specimen is the Cheewhat Giant, in Pacific Rim National Park Reserve on Vancouver Island, at 15,870 cubic feet (449 m^3). The tallest known individual is the Willaby Creek Tree south of Lake Quinault, 195 feet (59 m) in height."
Giant Sequoia,Sequoiadendron giganteum,,Evergreen,"Sequoiadendron giganteum (giant sequoia; also known as giant redwood, Sierra redwood, Sierran redwood, Wellingtonia or simply big tree‚ a nickname also used by John Muir) is the sole living species in the genus Sequoiadendron, and one of three species of coniferous trees known as redwoods, classified in the family Cupressaceae in the subfamily Sequoioideae, together with Sequoia sempervirens (coast redwood) and Metasequoia glyptostroboides (dawn redwood). Giant sequoia specimens are the most massive trees on Earth. The common use of the name sequoia usually refers to Sequoiadendron giganteum, which occurs naturally only in groves on the western slopes of the Sierra Nevada Mountains of California."
Ginkgo,Ginkgo biloba,,Deciduous,"Ginkgo is a genus of highly unusual non-flowering plants. The scientific name is also used as the English name. The order to which it belongs, Ginkgoales, first appeared in the Permian, 270 million years ago, possibly derived from ""seed ferns"" of the order Peltaspermales, and now only contains this single genus and species. The rate of evolution within the genus has been slow, and almost all its species had become extinct by the end of the Pliocene; the exception is the sole living species, Ginkgo biloba, which is only found in the wild in China, but is cultivated across the world. The relationships between ginkgos and other groups of plants are not fully resolved."
Goldenrain Tree,Koelreuteria paniculata,,Deciduous,"Koelreuteria paniculata is a species of flowering plant in the family Sapindaceae, native to eastern Asia, in China and Korea. It was introduced in Europe in 1747, and to America in 1763, and has become a popular landscape tree worldwide. Common names include goldenrain tree, pride of India, China tree, and the varnish tree."
Gray Birch,Betula populifolia,,Deciduous,"Betula populifolia (gray or grey birch) is a deciduous tree native to eastern North America. It ranges from southeastern Ontario east to Nova Scotia, and south to Pennsylvania and New Jersey, with disjunct populations in Indiana, Virginia, and North Carolina. It prefers poor, dry upland soils, but is also found in moist mixed woodlands. Living only about 30 years, it is a common pioneer species on abandoned fields and burned areas."
Green Ash,Fraxinus pennsylvanica,,Deciduous,"Fraxinus pennsylvanica, the green ash or red ash, is a species of ash native to eastern and central North America, from Nova Scotia west to southeastern Alberta and eastern Colorado, south to northern Florida, and southwest to Oklahoma and eastern Texas. It has spread and become naturalized in much of the western United States and also in Europe from Spain to Russia."
Green Giant Arborvitae,Thuja standishii x plicata,,Evergreen,"The green giant arborvitae is a large, vigorous, fast-growing evergreen‚ shooting up by as much as 3 feet per year until maturity. Its natural pyramidal to conical form boasts dense, rich green foliage that darkens or bronzes slightly in the winter."
Hardy Rubber Tree,Eucommia ulmoides,,Deciduous,"Hardy rubber-tree, a native of China, can be used in the landscape as a shade tree. It has an attractive round to broad-spreading form and during summer, the thick leaves are a very glossy green."
Hawthorn,Crataegus spp.,,Deciduous,"Crataegus, commonly called hawthorn, quickthorn, thornapple, May-tree, whitethorn, or hawberry, is a genus of several hundred species of shrubs and trees in the family Rosaceae, native to temperate regions of the Northern Hemisphere in Europe, Asia and North America. The name ""hawthorn"" was originally applied to the species native to northern Europe, especially the common hawthorn C. monogyna, and the unmodified name is often so used in Britain and Ireland. In Celtic lore, the hawthorn plant was used commonly for inscriptions along with yew and apple. It was once said to heal the broken heart. In Gaelic folklore, hawthorn (in Scottish Gaelic, sgitheach and in Irish, sceach) 'marks the entrance to the otherworld' and is strongly associated with the fairies."
Higan Cherry,Prunus x subhirtella ,,Deciduous,"Prunus subhirtella (Prunus x subhirtella), the winter-flowering cherry, spring cherry, Higan cherry, or rosebud cherry, is a small deciduous flowering tree originating in Japan, but unknown in the wild. It is probably of hybrid origin between Prunus incisa and Prunus spachiana."
Himalayan Pine,Pinus wallichiana,,Evergreen,"Pinus wallichiana is a coniferous evergreen tree native to the Himalaya, Karakoram and Hindu Kush mountains, from eastern Afghanistan east across northern Pakistan and north west India to Yunnan in southwest China. It grows in mountain valleys at altitudes of 1800-4300 m (rarely as low as 1200 m), between 30 m and 50 m in height. It favours a temperate climate with dry winters and wet summers. In Pashto, it is known as Nishtar."
Hinoki Falsecypress,Chamaecyparis obtusa,,Evergreen,"Chamaecyparis obtusa (Japanese cypress, hinoki cypress or hinoki) is a species of cypress native to central Japan, and widely cultivated in the temperate northern hemisphere for its high quality timber and ornamental qualities, with many cultivars commercially available."
Holly Hybrids,Ilex hybrids,,Unknown,Deciduous shrubs in the Aquifoliaceae family. Cultivars listed are crosses between Ilex vericillata and Ilex serrata. Flowers attract bees and blue black fruits are enjoyed by birds. Members of the genus Ilex support the following specialized bee: Colletes banksi. This plant is resistant to damage by deer.
Honeylocust,Gleditsia triacanthos,,Deciduous,"The honey locust (Gleditsia triacanthos), also known as the thorny locust or thorny honeylocust, is a deciduous tree in the family Fabaceae, native to central North America where it is mostly found in the moist soil of river valleys. Honey locust is highly adaptable to different environments, has been introduced worldwide, and is an aggressive invasive species. The pulp on the inside of the pods is edible (unlike the black locust, which is toxic) and consumed by wildlife and livestock."
Honeysuckle,Lonicera spp.,,Unknown,"Honeysuckles (Lonicera, syn. Caprifolium Mill.) are arching shrubs or twining vines in the family Caprifoliaceae, native to northern latitudes in North America and Eurasia. Approximately 180 species of honeysuckle have been identified in North America and Eurasia. Widely known species include Lonicera periclymenum (common honeysuckle or woodbine), Lonicera japonica (Japanese honeysuckle, white honeysuckle, or Chinese honeysuckle) and Lonicera sempervirens (coral honeysuckle, trumpet honeysuckle, or woodbine honeysuckle). L. japonica is an aggressive, highly invasive species considered as a significant pest on the continents of North America, Europe, South America, Australia, and Africa."
Hungarian Oak,Quercus frainetto,,Deciduous,"Quercus frainetto (syn. Quercus conferta Kit., Quercus farnetto Ten.), the Hungarian oak or Italian oak, is a species of oak, native to southeastern Europe (parts of Italy, the Balkans, parts of Hungary, Romania) and Turkey. "
Jane Magnolia,Magnolia 'Jane',,Deciduous,"Magnolia liliiflora (variously known by many names, including Mulan magnolia, purple magnolia, red magnolia, lily magnolia, tulip magnolia, Jane magnolia and woody-orchid) is a small tree native to southwest China (in Sichuan and Yunnan), but cultivated for centuries elsewhere in China and also Japan. It was first introduced to English-speaking countries from cultivated Japanese origins, and is thus also sometimes called Japanese magnolia, though it is not native to Japan. It is now also planted as an ornamental in North America and Europe, though rather less often than its popular hybrid."
Japanese Black Pine,Pinus thunbergii ,,Evergreen,"Pinus thunbergii (syn: Pinus thunbergiana), also called black pine, Japanese black pine, and Japanese pine, is a pine native to coastal areas of Japan (Ky_sh_, Shikoku and Honsh_) and South Korea. It is called gomsol in Korean, h_is_ng in Chinese, and kuromatsu in Japanese."
Japanese Cryptomeria,Cryptomeria japonica,,Evergreen,"Cryptomeria (literally ""hidden parts"") is a monotypic genus of conifer in the cypress family Cupressaceae, formerly belonging to the family Taxodiaceae. It includes only one species, Cryptomeria japonica (syn. Cupressus japonica L.f.). It is endemic to Japan, where it is known as sugi. The tree is called Japanese cedar or Japanese redwood in English. Sugi has been cultivated in China for so long that it is frequently thought to be native there."
Japanese Dogwood,Cornus kousa var. chinensis,,Deciduous,"Cornus kousa, is a small deciduous tree 8-12 m (26-39 ft) tall, in the family Cornaceae. Common names include kousa, kousa dogwood, Chinese dogwood, Korean dogwood, and Japanese dogwood. Synonyms are Benthamia kousa and Cynoxylon kousa. It is a plant native to East Asia including Korea, China and Japan. Widely cultivated as an ornamental, it is naturalized in New York State."
Japanese Flowering Apricot,Prunus mume,,Deciduous,"Prunus mume is an East Asian tree species classified in the Armeniaca section of the genus Prunus subgenus Prunus. Its common names include Chinese plum and Japanese apricot. The flower is usually called plum blossom. This distinct tree species is related to both the plum and apricot trees. Although generally referred to as a plum in English, it is more closely related to the apricot. In Chinese, Japanese, Korean and Vietnamese cooking, the fruit of the tree is used in juices, as a flavouring for alcohol, as a pickle and in sauces. It is also used in traditional medicine.The tree's flowering in late winter and early spring is highly regarded as a seasonal symbol."
Japanese Maple,Acer palmatum,,Deciduous,"Acer palmatum, commonly known as red emperor maple, palmate maple, Japanese maple or smooth Japanese-maple, is a species of woody plant native to Japan, Korea, China, eastern Mongolia, and southeast Russia. Many different cultivars of this maple have been selected and they are grown worldwide for their large variety of attractive forms, leaf shapes, and spectacular colors."
Japanese Pagodatree,Styphnolobium japonicum,,Deciduous,"Styphnolobium japonicum (L.) Schott, the Japanese pagoda tree (Chinese scholar tree, pagoda tree; syn. Sophora japonica) is a species of tree in the subfamily Faboideae of the pea family Fabaceae. Styphnolobium japonicum is native to China; despite the name, it was introduced in Japan. It is a popular ornamental tree in Europe, North America and South Africa, grown for its white flowers, borne in late summer after most other flowering trees have long finished flowering."
Japanese Red Pine,Pinus densiflora,,Evergreen,"Pinus densiflora, also called, Japanese red pine the Japanese pine or Korean red pine, has a home range that includes Japan, the Korean Peninsula, northeastern China (Heilongjiang, Jilin, Liaoning, Shandong) and the extreme southeast of Russia (southern Primorsky Krai). In Korea, simply called sonamu (literally ""pine tree""), it takes special status. Historically, Korean dynasties looked after it for timber and resin production banning laypeople from logging them. Korean aristocrats, or Yangban, loved it because they thought this evergreen tree represented virtues of Confucianism, ""fidelity"" and ""fortitude"". In this strongly confucian society, it became the national symbol. For the Korean people, even today, it is considered to represent Korean spirit and mentioned in the South Korean national anthem, Aegukga. Since it was introduced to the West by Japanese scholars, it was named the ""Japanese red pine"" in English. In Korea the KFS (Korea Forest Service) has changed the English name in Korea to 'Korean red pine'."
Japanese Snowbell,Styrax japonicus,,Deciduous,"Styrax japonicus, the Japanese snowbell, is a species of flowering plant in the family Styracaceae, native to China, Japan and Korea. Growing to 12 m (39 ft) tall by 8 m (26 ft) broad, it is a graceful, spreading deciduous tree with oval, upward-facing leaves which occasionally turn yellow or orange before falling in autumn. Masses of slightly fragrant, bell-shaped white flowers hang from the branches in summer, followed by fruits (drupes) which resemble olives in both shape and colour."
Japanese Stewartia,Stewartia pseudocamellia,,Deciduous,"Stewartia pseudocamellia, also known as Korean stewartia, Japanese stewartia, or deciduous camellia, is a species of flowering plant in the family Theaceae, native to Japan (southern Honsh_, Ky_sh_, Shikoku) and Korea."
Japanese Tree Lilac,Syringa reticulata,,Deciduous,"Syringa reticulata (Japanese tree lilac) is a species of Lilac, native to eastern Asia: in northern Japan (mainly Hokkaid_), northern China (Gansu, Hebei, Heilongjiang, Henan, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shanxi, Sichuan), Korea, and far southeastern Russia (Primorye)."
Japanese Umbrella Pine,Sciadopitys verticillata,,Evergreen,"Sciadopitys verticillata, the k_yamaki or Japanese umbrella-pine, is a unique conifer endemic to Japan. It is the sole member of the family Sciadopityaceae and genus Sciadopitys, a living fossil with no close relatives, and present in the fossil record for about 230 million years."
Japanese Weeping Cherry,Prunus subhirtella ,,Deciduous,"Prunus subhirtella, commonly called Higan cherry, is a medium sized deciduous tree growing to 40-50 feet tall. It is a naturally occurring hybrid, which the Royal Horticultural Society lists as Prunus x subhirtella, from Japan that generally features non-fragrant pale pink to white flowers in spring, pea-sized blackish fruits in late summer and ovate to lanceolate green leaves (to 3 inches long). This hybrid is rarely sold in commerce, however."
Japanese White Pine,Pinus parviflora,,Evergreen,"Pinus parviflora, also known as five-needle pine, Ulleungdo white pine, or Japanese white pine, is a pine in the white pine group, Pinus subgenus Strobus, native to Korea and Japan.This is a popular tree for bonsai, and is also grown as an ornamental tree in parks and gardens. The cultivars 'Adcock's Dwarf' and 'Bonnie Bergman' have gained the Royal Horticultural Society's Award of Garden Merit."
Japanese Zelkova,Zelkova serrata,,Deciduous,"Zelkova serrata (Japanese zelkova, Japanese elm or keyaki) is a species of the genus Zelkova native to Japan, Korea, eastern China and Taiwan. It is often grown as an ornamental tree, and used in bonsai. There are two varieties, Zelkova serrata var. serrata in Japan and mainland eastern Asia, and Zelkova serrata var. tarokoensis (Hayata) Li on Taiwan which differs from the type in its smaller leaves with less deeply cut serration on the margins."
Josee Lilac,Syringa x Josee,,Deciduous,"Syringa 'Josee' is a dwarf, reblooming lilac of compound, rounded habit. Heavenly scented, star-like lavender-pink flowers are on display over a long season. Blooming massively in late spring, the blossoms are so profuse that they literally cover the shrub. After a rest period to put on new growth, they repeat bloom sporadically through fall. Repeat flowering is best in cool climates. "
Juniper (Unknown),Juniperus spp.,,Evergreen,"Junipers are coniferous trees and shrubs in the genus Juniperus of the cypress family Cupressaceae. Depending on taxonomic viewpoint, between 50 and 67 species of junipers are widely distributed throughout the Northern Hemisphere, from the Arctic, south to tropical Africa, from Ziarat, Pakistan, east to eastern Tibet in the Old World, and in the mountains of Central America. The highest-known juniper forest occurs at an altitude of 16,000 ft (4,900 m) in southeastern Tibet and the northern Himalayas, creating one of the highest tree-lines on earth."
Katsuratree,Cercidiphyllum japonicum,,Deciduous,"Cercidiphyllum is a genus containing two species of plants, both commonly called katsura. They are the sole members of the monotypic family Cercidiphyllaceae. The genus is native to Japan and China. Of particular interest is the scent produced by the leaves in the autumn, resembling burnt brown sugar or cotton candy."
Kentucky Coffeetree,Gymnocladus dioicus,,Deciduous,"The Kentucky coffeetree, Gymnocladus dioicus, is a tree in the subfamily Caesalpinioideae of the pea family Fabaceae, native to the Midwest and Upper South of North America. The seed may be roasted and used as a substitute for coffee beans; however, unroasted pods and seeds are toxic. The wood from the tree is used by cabinetmakers and carpenters. It is planted as a street tree.From 1976 to 1994, the Kentucky coffeetree was the state tree of Kentucky, after which the tulip poplar was returned to that designation."
Korean Pine,Pinus koraiensis,,Evergreen,"Pinus koraiensis is a species of pine known commonly as the Korean pine. It is native to eastern Asia: Korea, northeastern China, Mongolia, the temperate rainforests of the Russian Far East, and central Japan. In the north of its range, it grows at moderate altitudes, typically 600 metres (2,000 ft) to 900 metres (3,000 ft), whereas further south, it is a mountain tree, growing at 2,000 metres (6,600 ft) to 2,600 metres (8,500 ft) altitude in Japan. Other common names include Chinese pinenut."
Korean Stewartia,Stewartia koreana,,Deciduous,
Kousa Dogwood,Cornus kousa,,Deciduous,
Kwanzan Cherry,Prunus serrulata ,,Deciduous,
Lacebark Elm,Ulmus parvifolia,,Deciduous,
Lacebark Pine,Pinus bungeana,,Evergreen,
Leyland Cypress,Cupressus x chamaecyparis,,Evergreen,
Limber Pine,Pinus flexilis,,Evergreen,
Littleleaf Linden,Tilia cordata,,Deciduous,
London Planetree,Platanus x  acerifolia,,Deciduous,
Magnolia (Unknown),Magnolia spp.,,Unknown,
Miss Canada Lilac,Syringa x prestoniae,,Deciduous,
Mockernut Hickory,Carya tomentosa,,Deciduous,
Momi Fir,Abies firma,,Evergreen,
Moon Yew,Taxus x media,,Evergreen,
Mugo Pine,Pinus mugo,,Evergreen,
Muskogee Crape Myrtle,Lagerstroemia indica x fauriei,muskogee_crape_myrtle.jpg,Deciduous,"The Lagerstronemia indica, commonly known as “Muskogee,” is a crape myrtle (Lagerstroemia spp.). This hybrid was developed by the National Arboretum in Washington, D.C., and given the name of the native American Indian tribe “Muskogee.” The “Muskogee” is a deciduous, upright-spreading large shrub or small tree with a vase-like crown. It  can reach 15 to 20 feet in height and 15 feet in width. Muskogee flowers are light lavender and very prolific with an unusually long blooming period lasting up to 120 days. Foliage shows excellent vigor with glossy green leaves that are capable of turning bright red in autumn. Exfoliating bark is an attractive shiny light gray to tan color."
Nellie Stevens Holly,Ilex x Nellie R. Stevens,nellie_stevens.jpg,Evergreen,"‘Nellie R. Stevens’ is a hybrid between I. aquifolium and I. cornuta. It typically grows as a large broadleaf evergreen shrub with dense, conical form to 15-25’ tall and 8-12’ wide. It also can be trained to grow as a small tree. Oblong, glossy, dark green leaves (to 4” long) have spiny margins (typically 2-3 spines per side). Small greenish-white flowers appear in spring (April), but are generally inconspicuous. Flowers give way to often abundant amounts of berry-like bright red fruits (to 1/3” diameter) which ripen in fall and persist into winter."
Nordman Fir,Abies nordmanniana,nordman_fir.jpg,Evergreen,"Abies nordmanniana, the Nordmann fir or Caucasian fir is a fir indigenous to the mountains south and east of the Black Sea, in Turkey, Georgia and the Russian Caucasus. It occurs at altitudes of 900–2,200 m on mountains with precipitation of over 1,000 mm."
Northern Catalpa,Catalpa speciosa,northern_catalpa.jpg,Deciduous,"Catalpa speciosa, commonly known as the northern catalpa, hardy catalpa, western catalpa, cigar tree, catawba-tree, or bois chavanon, is a species of Catalpa native to the midwestern United States. The Latin specific epithet speciosa means “showy”."
Northern Red Oak,Quercus rubra,northern_red_oak.jpg,Deciduous,"Quercus rubra (syn. Quercus borealis), commonly called northern red oak or champion oak, is an oak in the red oak group (Quercus section Lobatae). It is a native of North America, in the eastern and central United States and southeast and south-central Canada. It grows from the north end of the Great Lakes, east to Nova Scotia, south as far as Georgia, Mississippi, Alabama, and Louisiana, and west to Oklahoma, Kansas, Nebraska, and Minnesota. Often simply called red oak, northern red oak is so named to distinguish it from southern red oak (Q. falcata), also known as the Spanish oak. It is also the state tree of New Jersey and the provincial tree of Prince Edward Island."
Norway Maple,Acer platanoides,norway_maple.jpg,Deciduous,"Acer platanoides, the Norway maple, is a species of maple native to eastern and central Europe and western Asia, from France east to Russia, north to southern Scandinavia and southeast to northern Iran. It was brought to North America in the mid-1700s as a shade tree. It is a member of the soapberry and lychee family."
Norway Spruce,Picea abies,norway_spruce.jpg,Evergreen,"Picea abies, the Norway spruce or European spruce, is a species of spruce native to Northern, Central and Eastern Europe. It has branchlets that typically hang downwards, and the largest cones of any spruce, 9-17 cm (3 1⁄2-6 3⁄4 in) long. It is very closely related to the Siberian spruce (Picea obovata), which replaces it east of the Ural Mountains, and with which it hybridises freely. The Norway spruce is widely planted for its wood, and is the species used as the main Christmas tree in several cities around the world. It was the first gymnosperm to have its genome sequenced, and one clone has been measured as 9,560 years old. The Latin specific epithet abies means “fir-like”."
Nutall's Oak,Quercus texana,nutalls_oak.jpg,Deciduous,"Quercus texana, commonly known as Nuttall's oak, is a fast-growing, large deciduous oak tree. It is native to the south-central United States primarily in the lower Mississippi River Valley in Louisiana, Arkansas, Mississippi, Alabama, and western Tennessee. Quercus texana is a tree up to 25 meters (83 feet) tall, with dark brown bark. It has leaves with sharp pointed lobes somewhat similar to those of the Georgia oak (Quercus georgiana) and pin oak (Quercus palustris). It is fast-growing and usually has nice red fall colors."
Ohio Buckeye,Aesculus glabra,ohio_buckeye.jpg,Deciduous,"The tree species Aesculus glabra is commonly known as Ohio buckeye, American buckeye, or fetid buckeye. A. glabra is one of 13–19 species of Aesculus also called horse chestnuts. It is native primarily to the Midwestern and lower Great Plains regions of the United States, extending southeast into the Nashville Basin. It is also found locally in the extreme southwest of Ontario, on Walpole Island in Lake St. Clair, and in isolated but large populations in the South (Adams County, Mississippi). It is a medium-sized deciduous tree growing to 15 to 25 m (49 to 82 ft) tall."
Okame Cherry,Prunus x 'Okame',okame_cherry.jpg,Deciduous,"Prunus _ incam 'Okame' (Okamé cherry), is a hybrid species of flowering cherry, the result of a cross between Prunus incisa (Fuji cherry) and Prunus campanulata (Taiwan or bellflower cherry). It is a small tree, reaching 8 m, with silver bark and showy pink flowers. Its leaves are obovate or oblanceolate, 47 to 70 mm long and 22 to 31 mm wide. Its fall foliage is an attractive bronze-orangish-red. Due to its hybrid nature, fruit are rarely produced even though it produces large amounts of pollen, and so it is propagated and sold commercially by cuttings."
Oriental Spruce,Picea orientalis,oriental_spruce.jpg,Evergreen,"Picea orientalis, commonly known as the Oriental spruce or Caucasian spruce, is a species of spruce native to the Caucasus and adjacent northeast Turkey. It is a large coniferous evergreen tree growing to 30–45 m tall or 98–145 feet (exceptionally to 57 m), and with a trunk diameter of up to 1.5 m (exceptionally up to 4 m). The Caucasian Spruce can also be found in Northern Iran, though its numbers have decreased due to deforestation."
Overcup Oak,Quercus lyrata,overcup_oak.jpg,Deciduous,"Quercus lyrata, the overcup oak, is an oak in the white oak group (Quercus sect. Quercus). It is native to lowland wetlands in the eastern and south-central United States, in all the coastal states from New Jersey to Texas, inland as far as Oklahoma, Missouri, and Illinois. It is a medium-sized deciduous tree, growing to 20 meters (66 feet) tall, with a trunk up to 80 cm (31 in) in diameter, or rarely to 140 cm (55 in). The common name comes from the acorns being largely enclosed in the cup; the scientific name comes from the lyrate (lyre-shaped) leaves."
